ISIN,Prezzo,Cedola Semestrale Lorda,Cedola Annua Lorda %,Data di Scadenza,Mesi alla Scadenza,Rendimento Totale Lordo %,Rendimento lordo Annuo %,Nazione
FR0014004J31,44.55,0.75,3.37,25/05/2053,334,217.06,7.8,REPUBLIC OF FRANCE
IT0004923998,108.62,2.38,4.37,01/09/2044,230,75.15,3.92,REPUBLIC OF ITALY
IT0005438004,65.35,0.75,2.3,30/04/2045,237,97.78,4.95,REPUBLIC OF ITALY
FR0013404969,59.98,1.5,5.0,25/05/2050,298,189.26,7.62,REPUBLIC OF FRANCE
FR0013480613,46.14,0.75,3.25,25/05/2052,322,202.88,7.56,REPUBLIC OF FRANCE
FR0014001NN8,25.68,0.5,3.89,25/05/1972,-638,81.07,0,REPUBLIC OF FRANCE
XS2210006339,44.8,0.5,2.23,28/07/2050,300,179.02,7.16,REPUBLIC OF LITUANIA
GR0138007738,101.79,4.3,8.45,24/02/2035,115,78.5,8.19,REPUBLIC OF GREECE
XS1619568139,72.31,2.1,5.81,26/05/2047,262,163.17,7.47,REPUBLIC OF LITUANIA
XS2234571771,58.45,1.38,4.7,23/09/2050,302,188.71,7.5,REPUBLIC OF BULGARIA
XS1508566558,71.5,2.0,5.59,25/10/2046,255,157.35,7.4,Repubblica di Polonia
XS3063879442,101.2,4.12,8.15,07/05/2038,154,100.72,7.85,REPUBLIC OF BULGARIA
XS2922764191,98.25,3.88,7.89,22/10/2039,171,112.21,7.87,Repubblica di Polonia
FR0013257524,70.18,2.0,5.7,25/05/2048,274,170.73,7.48,REPUBLIC OF FRANCE
IT0005635583,98.58,1.93,3.91,01/10/2040,183,60.02,3.94,REPUBLIC OF ITALY
IT0005421703,74.89,0.9,2.4,01/03/2041,188,70.78,4.52,REPUBLIC OF ITALY
XS2013678086,64.04,1.62,5.07,19/06/2049,287,175.41,7.33,REPUBLIC OF LITUANIA
IT0004532559,112.21,2.5,4.46,01/09/2040,182,55.96,3.69,REPUBLIC OF ITALY
GR0138009759,103.1,4.3,8.34,24/02/2037,139,92.92,8.02,REPUBLIC OF GREECE
FR0011461037,90.49,3.25,7.18,25/05/2045,238,150.58,7.59,REPUBLIC OF FRANCE
IT0005377152,91.26,1.55,3.4,01/03/2040,176,58.83,4.01,REPUBLIC OF ITALY
FR0014002JM6,54.82,0.5,1.82,25/06/2044,227,116.16,6.14,REPUBLIC OF FRANCE
FR001400CMX2,82.14,2.5,6.09,25/05/2043,214,128.27,7.19,REPUBLIC OF FRANCE
GR0138005716,102.52,4.3,8.39,24/02/2033,91,60.46,7.97,REPUBLIC OF GREECE
IT0005442097,78.63,0.6,1.53,27/04/2037,141,44.73,3.81,REPUBLIC OF ITALY
